name,slug,city,status,matched_polygon,score
Forest Gabriel Park,forest-gabriel-park,Georgetown,NEEDS_POLYGON,Forest Park,0.733
Forest Hills,forest-hills,Austin,HAS_POLYGON,forest-hills,1.0
Forest Oaks,forest-oaks,Cedar Park,HAS_POLYGON,forest-oaks,1.0
Forest Ridge,forest-ridge,Round Rock,HAS_POLYGON,forest-ridge,1.0
Forum,forum,Austin,HAS_POLYGON,forum,1.0
Fountainwood,fountainwood,Georgetown,HAS_POLYGON,fountainwood,1.0
Four Points Centre,four-points-centre,Austin,HAS_POLYGON,four-points-centre,1.0
Four Seasons Summer Section,four-seasons-summer-section,Austin,NEEDS_POLYGON,Four Seasons Fall Section,0.808
Four-T Ranch,four-t-ranch,Georgetown,NEEDS_POLYGON,South Ranches,0.72
Fox Creek Estates,fox-creek-estates,Lake Travis,HAS_POLYGON,fox-creek-estates,1.0
Franklin Park,franklin-park,Austin,HAS_POLYGON,franklin-park,1.0
Fredrickson Ranch on Lake Georgetown,fredrickson-ranch-on-lake-georgetown,Georgetown,HAS_POLYGON,fredrickson-ranch-on-lake-georgetown,1.0
French Place,french-place,Austin,HAS_POLYGON,french-place,1.0
Gabriels Overlook,gabriels-overlook,Georgetown,HAS_POLYGON,gabriels-overlook,1.0
Galindo,galindo,Austin,HAS_POLYGON,galindo,1.0
Gann Ranch,gann-ranch,Cedar Park,HAS_POLYGON,gann-ranch,1.0
Garden Valley,garden-valley,Austin,HAS_POLYGON,garden-valley,1.0
Garrison Park,garrison-park,Austin,HAS_POLYGON,garrison-park,1.0
Gate Hollow Estates,gate-hollow-estates,Lake Travis,HAS_POLYGON,gate-hollow-estates,1.0
Gateway,gateway,Austin,HAS_POLYGON,gateway,1.0
Gatlinburg,gatlinburg,Pflugerville,HAS_POLYGON,gatlinburg,1.0
Georgetown Country Club,georgetown-country-club,Georgetown,NEEDS_POLYGON,Country Club,0.686
Georgetown Crossing,georgetown-crossing,Georgetown,HAS_POLYGON,georgetown-crossing,1.0
Georgetown,georgetown,TX,HAS_POLYGON,georgetown,1.0
Georgetown Place,georgetown-place,Georgetown,HAS_POLYGON,georgetown-place,1.0
Georgetown Village,georgetown-village,Georgetown,HAS_POLYGON,georgetown-village,1.0
Georgian Acres,georgian-acres,Austin,HAS_POLYGON,georgian-acres,1.0
